,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
TERMINAL_RESET,RESET,RESETAR,LIMPADA,RESET,RESET,ZURÜCKSETZEN,REINITIALISER,Restablecer,Restart,RESET,RESET,RESET,RESET,重置,RESET,Zresetuj,RESET,RESET,RESET,RESET,RESET,RESET,RESET,RESET,ΕΠΑΝΑΦΟΡΑ,RESET,RESET,RESET,RESET,RESET,,ATKURTI
TERMINAL_RESET_DESC,RESET TIERED ITEM TABLE,RESETAR MESA DE ITENS,LIMPA A MESA,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,REINITIALISER LA TABLE DES OBJETS,Restablecer objetos graduados,RESET TIERED ITEM TABLE,RESETTIEREDITEMTABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,Zresetuj uporządkowaną tabelę przedmiotów,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,ΕΠΑΝΑΦΟΡΑ ΠΙΝΑΚΑ ΔΙΑΒΑΘΜΙΣΜΕΝΩΝ ΑΝΤΙΚΕΙΜΕΝΩΝ,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,RESET TIERED ITEM TABLE,,ATKURTI PAKOPINIŲ DAIGTŲ STALĄ
TERMINAL_RESET_INFO,TIERED ITEMS RESET,MESA DE ITENS RESETADA,LIMPOU A MESA,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TABLE DES OBJETS REINITIALISEE,Objetos graduados restablecidos,TIERED ITEMS RESET,TIEREDITEMSRESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,Restart uporządkowanych przedmiotów,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,ΔΙΑΦΑΘΜΙΣΜΕΝΑ ΑΝΤΙΚΕΙΜΕΝΑ ΕΠΑΝΑΦΕΡΘΗΚΑΝ,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,TIERED ITEMS RESET,,ATKURTI PAKOPINIUS DAIGTUS
TERMINAL_RELIC_DESC,RESET RELIC SELECTION,RESETAR SELEÇÃO DE RELÍQUIAS,LIMPA AS LEMBRANÇA,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,"REINITIALISER LES RELIQUES
",Restablecer reliquia seleccionada,RESET RELIC SELECTION,RESETRELICSELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,重置遗迹选择,RESET RELIC SELECTION,Zresetuj wybór reliktów,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,ΕΠΑΝΑΦΟΡΑ ΕΠΙΛΟΓΗΣ ΚΕΙΜΗΛΕΙΩΝ,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,RESET RELIC SELECTION,,ATKURTI RELIKVIJŲ IŠSIRINKIMĄ
TERMINAL_RELIC_INFO,RELIC SELECTION RESET,SELEÇÃO DE RELÍQUIAS RESETADA,LIMPOU AS LEMBRANÇA,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIQUES REINITIALISEES,Reliquia seleccionada restablecida,RELIC SELECTION RESET,RELICSELECTIONRESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,遗迹选择已重置,RELIC SELECTION RESET,Restart wyboru reliktów,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,ΕΠΙΛΟΓΗ ΚΕΙΜΗΛΕΙΩΝ ΕΠΑΝΑΦΕΡΘΗΚΕ,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,RELIC SELECTION RESET,,RELIKVIJŲ PASIRINKIMO ATKŪRIMAS
TERMINAL_GUN_MODS,GUN MODS,MODS DE ARMAS DE TIRO,MODS DE ARMA,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS,GUN MODS
TERMINAL_GUN_MOD_SELECTOR_DESC,GUN MOD SELECTOR,SELEÇÃO DE MODS DE ARMAS DE TIRO,SELECIONA MOD DE ARMA,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR,GUN MOD SELECTOR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASS_RELIC,There is treasure buried somewhere around here!,Tem tesouro enterrado por aqui em algum lugar!,TEM LEMBRANÇA ENTERRADO AQUE,Где-то поблизости зарыто сокровище!,このちかくに たからが うまっています!,Hier ist irgendwo ein Schatz vergraben!,Il y a un trésor enterré quelque part par ici!,¡Hay un tesoro enterrado por aquí!,Nekde tady je zakopany poklad,이근처어딘가에보물이묻혀있다.,Er is hier in de buurt een schat begraven!,C'è un tesoro sepolto da qualche parte qui intorno!,附近有寶藏,这里的某个地方埋藏了宝藏！,Ada harta yang terkubur di sekitar sini!,Skrzynia ze skarbem jest gdzieś tutaj zakopana!,A közelben egy Ereklye van eletmetve!,แถวนี้มีหีบสมบัติซ่อนอยู่!,Det er en skatt gravd ned ett eller annet sted here!,,,"Some Great Loot Round Here, Matey!",יש אוצר קבור איפה שהוא כאן!,Det är en skatt nergrävd någonstans i närheten,Υπάρχει θυσαυρός θαμένος κάπου εδώ γύρω!,Mảnh Thánh Vật được chôn đâu đó quanh đây!,Buralarda bir yerde gömülü bir hazine var!,يوجد كنز مدفون في مكان قريب من هنا!,Um tesouro está enterrado aqui perto!,Täällä on haudattu aarre jossain!,Тук някъде има заровено съкровище!,Kažkur čia yra paslėptas lobis!
ASS_CONGRATS,Nice find. I suppose I cannot charge you for that one...,Belo achado. Imagino que não posso te cobrar por isso aí...,Q PALHA. EU QRIA VENDER P VC ESSE,"Отличная находка.Полагаю, я не могу взять с тебя плату за это...",よくみつけました。 このことで おかねをとる つもりはありません...,Schöner Fund. Für den kann ich wohl nichts verlangen...,Jolie trouvaille! J'imagine que je ne peux pas te la facturer celle là...,Bien hecho. Supongo que no puedo cobrarte por eso...,"Pekny nalez, verím že nebude jen jeden",잘찾았네.이거요금청구는할수없겠구만...,Goed gevonden. Ik neem aan dat je me hiervoor niet gaat betalen...,Ottima scoperta. Suppongo che non possa farti pagare per quello...,找到了呢。可惜我不能向你收錢...,你找到了绝佳的宝藏！但是我大概难以支付报酬了...,Temuan yang bagus.aku kira aku tidak bisa menyuruhmu membayar untuk itu,Niezłe znalezisko! Za to wyjątkowo nie musisz płacić...,Ügyes. Azt hiszem ezért az egyért nem kell fizetned.,หาได้ดีนี่. ดูเหมือนว่าฉันคงเก็บค่าธรรมเนียมจากส่วนนั้นไม่ได้ด้วยสิ...,"Fint funn, der. Se på denne som på meg. Neste gang må du betale.",,,"Eh, Keep it.","מציאה נחמדה, אני מנחש שלא אוכל לבקש תשלום",Fint fynd. Jag antar att jag inte kan ta betalt för den...,Καλή ανακάλυψη! Νομίζω δεν μπορώ να σου χρεώσω κάτι για αυτό...,Xin chúc mừng ! Như vậy là tôi không thể tính tiền bạn được rồi,İyi buldun. Sanırım bunun için senden bir ücret alamam.,لقية حسنة. أعتقد أنه لا يمكن أن آخذ منك أجرًا لقاء هذه...,Bom achado! Suponho que não te posso cobrar por isso...,Hieno löytö. Luulempa etten voi laskuttaa sinua tuosta...,,Geras radinys. Manau negaliu prašyti mokesčio už šitą...
ASS_TUTORIAL,"Good morning, sunshine. Maybe you should try the tutorial first?","Bom dia, lindeza. Talvez você deva tentar o tutorial primeiro.",EI NOOB. MELHOR ENTRAR NA ESCOLINHA ANTES KKK,"Доброе утро, солнышко. Может быть сначала стоит пройти обучение?",おはよう おねぼうさん。 さいしょに チュートリアルを うけませんか?,"Guten Morgen, Sonnenschein. Vielleicht solltest du erst das Tutorial versuchen?","Bonjour, mon rayon de soleil. Peut-être que devriez-vous commencer par le tutoriel d'abord?","Buenos días, Rayito de sol. ¿Quiza deberías probar el tutorial primero?","Dobre rano, mozna bys nejdriv chtel zkusit tutoriál",좋은아침이네.일단튜토리얼을해보는게어떻겠나.,Goedemorgen schat. Misschien moet je de tutorial eerst proberen?,"Buongiorno, Tesoro. Forse dovresti provare il Tutorial per cominciare?",早啊菜鳥，也許你該試試訓練關,天气晴朗，早上好！或许你可以先试试教程关？,"Selamat pagi, kawan. Mungkin kamu harus mencoba Tutorial terlebih dahulu?","Witaj złotko, może na początek zapoznasz się z samouczkiem jak grać?","Jó reggelt, napsugaram. Talán először próbáld ki az Oktatópályát.","อรุณสวัส, บางที เธอควรจะลองเข้าไปห้องฝึกฝนก่อนดีไหม?","God morgen, solstråle. Ønsker du kanskje å gå gjennom spill instruksene?",,,"Learn The Ropes, Or Don't Complain When You Can't Do Nothin' Right.","בוקר טוב, אולי תנסה את ההדרכה קודם לכן?","God morgon, solstråle. Du kanske borde pröva instruktionsnivån först?","Καλημέρα, αγάπη μου. Ίσως να δοκίμαζες την εκμάθηση πρώτα;",Chào buổi sáng người đẹp. Bạn có chắc là không muốn thử Chế độ hướng dẫn trước?,Günaydın birtanem . Belki önce eğitim bölümünü denemelisin?,صباح الخير أيها الحبيب، ألا يجدر بك تجريب الدورة التعليمية أولًا؟,"Bom dia, lindeza. Talvez devas tentar o tutorial primeiro?","Huomenta, päivänsäde. Voisit varmaan ensin koittaa ohjekenttää?","Добро утро, слънчо.","Gerą rytą, saulytę. Gal pirmiausia turėtum išbandyt apmokymus?"
ASS_GREETING,I have located some relics down on the Asteroid Dungeon. Hop on the teleporter!,Eu localizei algumas relíquias no Asteróide Masmorra. Entre no teleportador!,ACHEI COISA MASSA NA PEDRA ALI. ENTRA NO PORTALZINHO,"Я обнаружил несколько реликвий внизу, в подземельях Астероида. Запрыгивай в телепорт!",しょうわくせいダンジョンに いぶつをおいてきました。 テレポーターに のってください!,Ich habe einige Reliquien auf dem Dungeonasteroiden entdeckt. Zum Teleporter!,J'ai localisé quelques reliques sur le donjon Astéroid. Hop sur le téléporteur!,He localizado algunas reliquias en la Mazmorra Asteroide. ¡Entra en el teletransportador!,"Zjistil jsem nejaké relikvie v asteroidi kobce, sup do teleportu!",난소행성던전에몇유물들을눈여겨보아왔다네.전송기로뛰어들게나.,Ik heb een paar relics gevonden bij de Kerker der Astroïden. Spring op de teleporter!,Ho localizzato alcune reliquie nel Dungeon Asteroide. Salta sul teletrasporto!,我在小行星地牢探測到遺跡。快進傳送門！,我探测到行星地牢里有遗迹的迹象。快去传送门！,,Namierzyłem kilka reliktów na Asteroidzie Lochu. Wskakuj do teleportera!,Észleltem néhány Ereklyét az Aszeroida Dzsungelben. Nyomás a teleporthoz!,ฉันค้นพบตำแหน่งของ Relic หลายชิ้นในสถานที่ลึกลับบนดาวเคราะห์ด้านล่างนั่น เข้า เทเลพอร์ทมาเลย!,Jeg har peilet inn noen relikvier nede ved Astroidegruvene. Hopp inn i portalen!,,,"Some Great Loot Down There, Get Crackin'!","איתרתי קצת פסלים על האסטרואיד, עלה על המשגר!",Jag har lokaliserat lite reliker nere i Astroid Hålan. Hoppa in i teleportören!,Εχω εντοπίσει μερικά κειμίλια κάτω στο Μπουντρούμι του Αστεροϊδή. Ανέβα στον τηλεμεταφορέα!,Tôi đã xác định được Thánh Vật ở Thiên Thạch. Đi tới chỗ dịch chuyển nào !!,Astroid Zindanı'nda bazı yadigarlar tespit ettim. Işınlanma cihazına atla!,وجدت مكان بعض الآثار في ديماس الكويكب، هيا اقفز على الناقل!,Localizei algumas relíquias na Masmorra Asteróide. Entra no teletransportador!,Löysin reliikkejä Asteroidiluolasta. Hyppää teleportteriin!,,Aš nustačiau kelias relikvijas Asteroido požemyje. Šok ant teleporto!
ASS_FIRSTSTAGEDONE,"Each relic has 3 parts. If you find any part, I’ll let you buy it from me.","Cada relíquia tem 3 partes. Se você encontrar uma, eu deixo você comprá-la de mim.",CADA LEMBRANCINHA TEM 3 PEDAÇO. EU VO ACHA PRIMEIRO E TE VENDER KKK,Каждая реликвия состояит из 3 частей. Найдешь одну из них - позволю купить ее у меня.,いぶつは 3つのパーツにわかれています。 もし どれかをみつけたら わたしから かってもらいます,"Jede Reliquie hat 3 Stücke. Wenn du eins findest, verkauf ich es dir gerne zurück.","Chaque relique possède 3 parties. Si vous trouvez une partie, je vous laisserai me l'acheter.","Cada reliquia tiene 3 partes. Si encuentras una parte, te la venderé.","Kazdá relikvie má 3 kousky, mel bys najít všechny. Nechám tě nejaké koupit ode me.","각유물은3부분으로되어있다네.만약자네가어떤조각이라도찾아낸다면,나에게서살수있다네","Elk relic heeft 3 delen. Als je een onderdeel hebt gevonden, mag je het van me overkopen.","Ogni reliquia è composta da 3 parti. Se non trovi una parte, te la lascerò acquistare da me.",每個遺跡有三個部件。找到任一部件就可以在我這邊購買,每个遗迹由三个碎片组成。找到任意一部分后，你就可以从我这里花钱赎回它。,,Każdy relikt ma 3 cześci. Jeśli znajdzie je wszystkie będziesz mógł je odkupić.,"Minden Ereklyének 3 darabja van. Ha megtalálsz egy darabot, megengedem, hogy megvedd tőlem.",Relic แต่ละชิ้นมี 3 ส่วน. ถ้าหาได้ซักเสี้ยวนึง ฉันจะขายส่วนที่ฉันมีให้.,"Hvert relikvie består av tre deler. Om du finner noen deler, kan du kjøpe de av meg.",,,All the Really Great Loot Got Split to Three Parts. Find em All!,"לכל פסל יש שלושה חלקים, אם תמצא כל חלק, אני אתן לך לקנות אותו ממני","Varje relik har 3 delar. Om du hittar någon del, låter jag dig köpa den från mig.","Κάθε κειμήλιο έχει 3 μέρη. Αν βρείς οποιοδήποτε μέρος, θα σε αφήσω να το αγοράσεις απο εμένα.",Mỗi Thánh Vật có 3 mảnh vỡ. Tôi có thể bán cho bạn những Mảnh vỡ còn lại nếu như bạn tìm thấy được 1 Mảnh trước.,Her yadigarın üç parçası vardır. Eğer herhangi bir parça bulursan geri kalanları benden alabilirsin.,كل قطعة أثرية لها ثلاثة أجزاء، إذا عثرتَ على أي جزء سأدعك تشتريه مني.,"Cada relíquia tem 3 partes. Se encontrares alguma parte, deixo-te comprá-la de mim.","Kaikissa reliikeissä on 3 palaa. Jos löydät mitään osaa, annan sinun ostaa sen minulta.",,"Kieviena relikvija turi 3 dalis. Jeigu rasi nors vieną, aš leisiu tau nusipirkti ją iš manės."
ASS_CHECKPOINTREACHED,"I could teleport you straight to Stage 2. Trouble worth some money, no?","Eu poderia te teleportar direto para a Fase 2. Vale uma grana, não?",QUER UM ATALHO P MUNDO 2? ABRO UM POR UNS TROCADO VLW,"Могу перенести тебя на Уровень 2. Труд достойный вознаграждения, правда?",あなたを ステージ2につれていけます。 おかねをはらうだけのかちがある、 そうでしょう?,Ich könnte dich direkt zu Level 2 teleportieren. Natürlich nicht umsonst.,"Je peux vous téléporter au Niveau 2 en échange d'argent. Ca en vaut la peine, non?","Podría teletransportarte directamente al nivel 2. Pero la molestia valdria algo de dinero, ¿no?",Mužu te nechat teleportovat do úrovne 2 ale práce stojí nejaké peníze ne ?,난자네를스테이지2로보내줄수있다네.돈을좀들인다면말이지.,"Ik zou je meteen naar Niveau 2 kunnen teleporteren. Kosten noch moeite besparen, nietwaar?","Posso teletrasportarti direttamente al Livello 2. Un favore per qualche moneta, ci stai?",我可以直接傳送你到第二關。不過得給些慰勞你說是不是？,我可以直接将你传送到第二关。不过这得花点钱，如何？,,"Mogę cię teleportować na Poziom 2. Podróż warta tej kasy, co nie?","Rögtön a 2. Szintre tudnálak Teleportálni. Megéri az árát, nemde?","ฉันส่งเธอตรงไปสู่ ด่าน 2 ได้เลยนะ มีอุปสรรคเรื่องตังรึเปล่า, ไม่?","Jeg kan teleportere deg rett til nivå 2. Det er viss du vil betal for det, da.",,,This 'ere Teleporter Takes You Closer to Your Goal... For a Price.,"אני יכול לשגר אותך לשלב 2, מהומה ששווה קצת שלל, לא?","Jag skulle kunna teleportera dig direkt till Nivå 2. Värt lite pengar,va?","Θα μπορούσα να σε τηλεμεταφέρο κατευθίαν στην 2η πίστα. Φασαρία που αξίζει μερικά χρήματα, ε;",Tôi có thể đưa bạn ngay tới Màn 2. Nhưng mà đầu tiên là tiền đâu ?,Seni doğrudan Bölüm 2'ye ışınlayabilirim. Tehlikenin bir bedeli vardır değil mi?,أستطيع نقلك مباشرة إلى المرحلة الثانية، لكن التعب يكلف بعض المال، صحيح أم لا؟,"Eu podia teletransportar-te diretamente para o Nível 2. Isto vale algum dinheiro, não?","Voisin teleportata sinut heti Tasolle 2. Rahan arvoinen vaiva, eikö?",,"Aš galėčiau nuteleportuot tave tiesiai į 2 lygį. Ar neduotum truputį grynųjų, ne?"
ASS_FIRSTRELIC,Assemble the first relic by collecting all of its 3 pieces in Stage 1.,Monte a primeira relíquia ao coletar suas 3 partes na Fase 1,MONTE A PRIMEIRA LEMBRANCINHA PEGANDO OS PEDASO NA FASE 1,Собери первую реликвию найдя все 3 части на Уровне 1.,ステージ1で 3つのかけらをあつめて さいしょのいぶつを くみたててください,"Sammle alle 3 Stücke der ersten Reliquie in Level 1, um sie wiederherzustellen.",Assemblez la première relique en récoltant ses 3 parties au Niveau 1.,Ensambla la primera reliquia juntando 3 piezas en el primer nivel.,Sloz první relikvii ze třech dílů v úrovni 1,스테이지1에서첫번째유물의모든3조각을모아합치게.,Verzamel de eerste relic door alle 3 de onderdelen in Niveau 1 te verzamelen.,Assembla la prima reliquia collezionando tutte e 3 le parti nel Livello 1.,集齊第一關的三部件來組裝這個遺跡,收集第一关的三个碎片以组装第一件遗迹,,Skompletuj pierwszy relikt przez zebranie wszystkich 3 części z Poziomu 1.,"Gyűjts össze 3 darabot az 1. Szinten, hogy megszerezd az első Ereklyéd.",สามารถหลอม Relic ชิ้นแรกได้โดยการค้นหาทั้ง 3 ส่วนให้พบ ในด่าน 1.,Samle sammen den første relikvien ved å skaffe de 3 delene på nivå 1.,,,Rebuild the Great Loot by Finding All Three Parts,הרכב את הפסל הראשון על ידי אסיפת כל החלקים בשלב הראשון,Sätt ihop den första reliken genom att samla alla 3 av dens bitar i Nivå 1.,Συναρμολόγησε το πρώτο κειμήλιο μαζεύοντας όλα από τα 3 κομμάτια του στην 1η πίστα.,Thu thập 3 Mảnh vỡ ở Màn 1 để sở hữu Thánh Vật đầu tiên.,Üç parçasını Bölüm 1'de toplayarak ilk yadigarı oluşturabilirsin.,ركب القطعة الأثرية الأولى بجمع كل أجزاءها الثلاثة في المرحلة الأولى,Monta a primeira relíquia apanhando todas as suas 3 partes no Nível 1.,Rakenna ensimmäinen reliikki löytämällä kaikki 3 palaa tasosta 1.,,Sustatyk pirmą relikviją surasdamas visas 3 jos dalis 1 lygije.
ASS_SHOP1,"While you were busy fighting everything, I found this stuff. Purchase away!","Enquanto você se ocupava matando tudo, achei isso. Compre à vontade!",ENQUANTO VCS TAVAM MORRENDO LÁ EU ACHEI TD ESSES TREM. PD COMPRA TD KKK,"Пока ты был занят уничтожая все подряд, я нашел вот это барахло. Налетай!",あなたが たたかいにあけくれているあいだ こんなものを みつけました。 たくさん かってね!,"Während du mit der Ballerei beschäftigt warst, habe ich was tolles gefunden. Du kannst es mir gerne abkaufen!","Pendant que vous étiez occupé à vous battre, j'ai trouvé ceci. Achetez le donc!","Mientras estabas ocupado luchando contra todo, yo encontré estas cosas. ¡Cómpralas!",Zatím co jsi byl zaneprázdnen bojem jsem objevil tyhle kousky relikvie. Pokud chces prodám je,"자네가보이는데로쏴죽이고다니는동안에,나는이것들을찾아냈지.사가게나!","Terwijl je met alles wat je zag aan het vechten was, heb ik dit spul gevonden. Koop maar raak!","Mentre ti impegnavi a combattere di tutto, ho trovato questa cosa. Vuoi acquistarla?",當你在作戰時，我找到這玩意。要就給錢吧！,在你浴血奋战之时，我找到了这个玩意。要就买走吧！,,"Kiedy byłeś zajęty mordowaniem, znalazłem trochę przedmiotów. Kup coś jeśli chcesz. A chcesz.","Miközben te el voltál foglalva, hogy legyilkolj mindenkit, ezeket a cuccokat találtam. Vedd és vidd!",ระหว่างที่เธอกำลังต่อสู้อยู่กับหลายๆสิ่ง ฉันเจอของพวกนี้เข้า. ซื้อมันไปใช้เลยสิ!,"Mens du var opptatt å slåss, skaffet jeg noen greier. Kjøp om du har lyst!",,,Check Out What I Scav- Found Lying Around While You Fought!,"בזמן שהיית עסוק בלהילחם בהכל, אני מצאתי את כל הדברים האלה, קדימה קנה!","Medans du var upptagen med att slåss, hittade någon grej. Köp iväg!","Οσο ασχολιόσουν με το να πολεμάς τα πάντα, βρήκα αυτά τα πράγματα. Πάρε πάρε!","Trong khi bạn đang sống chết ở ngoài kia, tôi tìm thấy mấy món này. Mại dzô !!",Sen orada her şeyle savaşırken ben bu şeyi buldum. Satın al geç!,بينما كنتَ مشغولاً بقتال كل شيء، وجدت هذه الأشياء. اشتر الآن!,"Enquanto estavas ocupado matando tudo, encontrei isto. Compra à vontade!","Kun olit kiireinen taistellessasi, löysin nämä kamat. Osta pois!",,"Kol tu buvai užimtas kovoje, Aš radau šitai. Išparduodu!"
ASS_SHOP2,"A relic is useless until you find all 3 parts. Buy everything, just in case.",Uma relíquia é inútil até você encontrar todas as 3 partes. Compre tudo!,TEM Q ACHAR AS 3 PARTES ANTES DE USAR OS NEGÓCIO. GASTA O DINHEIRO VLW,"Реликвия бесполезна, пока ты не найдешь 3 части. Купи все, на всякий случай.",いぶつは 3つすべてのかけらをみつけるまでは やくにたたない。 ねんのため ぜんぶ かっていきなさい,"Die Reliquien funktionieren erst, wenn du alle 3 Stücke gefunden hast. Los, kauf schon.","Une relique est inutile sans ses 3 parties. Achetez les toutes, juste au cas où.","Una reliquia es inútil si no tienes las 3 partes. Cómpralo todo, por si acaso.","Relikvie nemá cenu dokud neobjevís vsechny 3 cásti, tak nakupuj.",유물은세조각이모두모이지않으면아무소용이없지!이것저것다사가게나.혹시또모르잖나?,"Een relic is nutteloos totdat je alle 3 de delen hebt gevonden. Koop alles wat je kan, voor de zekerheid.","Una reliquia è inutile finché non trovi tutte e 3 le parti. Acquista tutto, non si sa mai.",缺件的遺跡是沒有用的。看到就買以防萬一。,当找到全部三个碎片时，一个遗迹才会起作用。以防万一，请把所有东西都买了吧。,,Relikt jest bezużyteczny jeśli nie masz wszystkich jego części.,"Egy Ereklye használhatatlan, amíg meg nem találod mind a 3 darabját. Vegyél meg mindent, a biztonság kedvéért.","Relic ส่วนเดียวนั้นไร้ค่า เว้นแต่จะหาครบทั้ง 3 ส่วน, ซื้อทุกอย่างไปเลยสิ เผื่อไว้.",En relikvie er ubrukelig om du ikke har alle tre delene. Kjøp alt for sikkerheten skyld.,,,You Never Know What Might Be Part Of Great Loot... So Just Buy It All!,"פסל הוא חסר שימוש עד שתמצא את כל שלושת החלקים, קנה את הכל בכל מקרה","En relik är värdelös innan du har hittat alla 3 bitar. Köp allting, ifall att.","Το κειμήλιο είναι άχρηστο εκτός αν βρείς ολα τα 3 μέρη. Καλου κακού, αγόρασε τα πάντα.",Mảnh vỡ Thánh Vật chỉ là phế thải trừ khi kiếm được 3 Mảnh. Mua hết cho chắc ăn.,Bir yadigar üç parçasını da bulmadan hiçbir işe yaramaz. Ne olur ne olmaz diye hepsini satın al.,القطعة الأثرية عديمة الفائدة ما لم تجد أجزاءها الثلاثة، تجهز من الآن واشتر كل شيء.,"Uma relíquia é inútil a menos que encontres todas as 3 partes. Compra tudo, mais vale prevenir.","Reliikki on turha, ellet löydä kaikkia kolmea palaa. Osta kaikki, varmuuden varalta.",,"Relikvija niekam tikusi jei neturi visų 3 dalių. Pirk viską, dėl visą pikto."
